id	name	add_name	description	popup	set_ids	set_bonus_desc	set_extra_id	set_extra_desc	unk[0]	unk[1]	special_enchant_amount	special_enchant_desc
745	Cobendell Medicine			-1					0	0	0	
746	Alberius's List		Deliver the medicine to Sentinel Berros, Sentinel Veltress, Sentinel Rayen, and Sentinel Gartrandell.	-1					0	0	0	
750	Kinship Crystal			-1					0	0	0	
751	Cracked Kinship Crystal			-1					0	0	0	
752	Orc Amulet		An amulet that the Orcs carry for magical purposes. Take this to Captain Gilbert.	-1					0	0	0	
753	Silverleaf Brooch			-1					0	0	0	
755	Colleen's Letter			-1					0	0	0	
756	Mandragora Root			-1					0	0	0	
757	Mandragora Essence			-1					0	0	0	
758	Colleen's Receipt			-1					0	0	0	
759	Etched Rune Sword			-1					0	0	0	
760	Macabre Sword			-1					0	0	0	
761	Thanatos Sword			-1					0	0	0	
762	Gray Bone Chip			-1					0	0	0	
763	Esther's Letter			-1					0	0	0	
764	Arbon's Letter			-1					0	0	0	
765	Conspirator List			-1					0	0	0	
766	Sabrin's Signet			-1					0	0	0	
767	Sealed Scroll			-1					0	0	0	
768	Oyen's Key			-1					0	0	0	
769	Ricardo's Skull			-1					0	0	0	
770	Shield of Honor			-1					0	0	0	
771	Saythus's Skull			-1					0	0	0	
772	Trayer's Skull			-1					0	0	0	
773	Falimar's Skull			-1					0	0	0	
774	Fallen Sword of Honor			-1					0	0	0	
775	Sword of Honor			-1					0	0	0	
776	Nameless Sword			-1					0	0	0	
777	Sword of Black Ice			-1					0	0	0	
778	Arodin's Letter			-1					0	0	0	
779	Sabrin's Ring			-1					0	0	0	
780	Arbon's Letter			-1					0	0	0	
781	Madclaw's Necklace			-1					0	0	0	
782	Alex's Letter			-1					0	0	0	
783	Alex's Receipt			-1					0	0	0	
784	Glass Dagger			-1					0	0	0	
785	Broken Glass Dagger			-1					0	0	0	
786	Shadowguard Dagger			-1					0	0	0	
787	Coroli's Key			-1					0	0	0	
788	Midnight Onyx Necklace			-1					0	0	0	
789	Song: Moonlight Whisper			-1					0	0	0	
790	Bloodsteel Kris			-1					0	0	0	
791	Karlun's Skull			-1					0	0	0	
792	Karlun's Rib Bone			-1					0	0	0	
793	Karlun's Thigh Bone			-1					0	0	0	
794	Saint's Ash Urn			-1					0	0	0	
795	Mace of Athebaldt			-1					0	0	0	
796	Roien's Letter		A letter on which Roien summarized the historical information related to the sword of solidarity. Take this to Blacksmith Alltran.	-1					0	0	0	
797	Manuel's Letter			-1					0	0	0	
798	Varan's Letter			-1					0	0	0	
799	Groot's Letter			-1					0	0	0	
800	Tome of Nassen			-1					0	0	0	
801	Cursed Tome of Nassen			-1					0	0	0	
802	Bloodthirsty Dagger			-1					0	0	0	
803	Bloody Dagger			-1					0	0	0	
804	Staff of Shane			-1					0	0	0	
805	Pinter's Bill			-1					0	0	0	
806	Drake's Claw			-1					0	0	0	
807	Flawless Drake's Claw			-1					0	0	0	
808	Pushkin's Letter			-1					0	0	0	
809	Bone Fragment		Bone fragments obtained from the undead skeletons. Collect ten of these and take to Tetrarch Kaitar.	-1					0	0	0	
810	Altran's Letter			-1					0	0	0	
811	Oil Paper			-1					0	0	0	
812	Adamantium Ore			-1					0	0	0	
813	Heart Stone			-1					0	0	0	
814	Pushkin's Receipt			-1					0	0	0	
815	Leather Strap			-1					0	0	0	
816	Widow Maker			-1					0	0	0	
817	Mithril Bottle			-1					0	0	0	
818	Grace Unicorn's Horn			-1					0	0	0	
819	Drake's Bone			-1					0	0	0	
820	Zahak Fluids			-1					0	0	0	
821	Bone Knife			-1					0	0	0	
822	Drake Knife			-1					0	0	0	
823	Dull Dagger			-1					0	0	0	
824	Siriel's Note			-1					0	0	0	
825	Raien's Letter			-1					0	0	0	
826	Silver Spores			-1					0	0	0	
827	Star Dust			-1					0	0	0	
828	Song of Awakening			-1					0	0	0	
829	Spirit Dagger			-1					0	0	0	
830	Medallion of Kwyllinas			-1					0	0	0	
831	Echo Crystal			-1					0	0	0	
832	Green Echo Crystal			-1					0	0	0	
833	Red Echo Crystal			-1					0	0	0	
834	Aquamarine Echo Crystal			-1					0	0	0	
835	Blue Echo Crystal			-1					0	0	0	
836	Book of Kwyllinas			-1					0	0	0	
837	Fairy Dust			-1					0	0	0	
838	Vellior's Letter			-1					0	0	0	
839	Icarus's Letter			-1					0	0	0	
840	Drevanul Skull			-1					0	0	0	
841	Icarus's Order Form			-1					0	0	0	
842	Basilisk Ink			-1					0	0	0	
843	Book of Aklantoth			-1					0	0	0	
844	Book of Aklantoth P1 ~ P10			-1					0	0	0	
937	Directions to Ruins		Follow the northwestern path from the village, and head west when you meet the Obelisk of Victory. The entrance to the ruins lies at the slope of the mountain.	-1					0	0	0	
938	Deck			-1					0	0	0	
939	Gara's Quest Item #11			-1					0	0	0	
940	Gara's Quest Item #12			-1					0	0	0	
941	Gara's Proof of Bravery			-1					0	0	0	
942	Gara's Proof of Justice			-1					0	0	0	
943	Gara's Proof of Despair			-1					0	0	0	
944	Deathknight Skull			-1					0	0	0	
947	Scroll: Enchant Weapon (Grade B)		When enchanted, the P. Atk. of B-Grade weapons such as one-handed swords and blunt weapons, daggers and spears increases by 3. The P. Atk of two-handed swords and blunt weapons, dualswords, and two-handed fist-fighting weapons increases by 4. The P. Atk. of bow weapons increases by 6. The M. Atk. of all weapons increases by 3. From +4, P. Atk. and M. Atk. bonus will double for all weapon types.  It can be safely enchanted up to +3.	-1					0	0	0	
948	Scroll: Enchant Armor (Grade B)		Increases P. Def. of a B-Grade armor or accessory by 1, and from +4, the P. Def will increase by 3. It can be safely enchanted up to +3. One-piece type armor can be safely enchanted up to +4.	-1					0	0	0	
949	Crystal Scroll: Enchant Weapon (Grade B)		A scroll of enchantment that empowers a B-Grade weapon.	-1					0	0	0	
950	Crystal Scroll: Enchant Armor (Grade B)		A scroll of enchantment that empowers a B-Grade armor.	-1					0	0	0	
951	Scroll: Enchant Weapon (Grade C)		When enchanted, the P. Atk. of C-Grade weapons such as one-handed swords and blunt weapons, daggers and spears increases by 3. The P. Atk of two-handed swords and blunt weapons, dualswords, and two-handed fist-fighting weapons increases by 4. The P. Atk. of bow weapons increases by 6. The M. Atk. of all weapons increases by 3. From +4, P. Atk. and M. Atk. bonus will double for all weapon types.  It can be safely enchanted up to +3.	-1					0	0	0	
952	Scroll: Enchant Armor (Grade C)		Increases P. Def. of a C-Grade armor or accessory by 1, and from +4, the P. Def will increase by 3. It can be safely enchanted up to +3. One-piece type armor can be safely enchanted up to +4.	-1					0	0	0	
953	Crystal Scroll: Enchant Weapon (Grade C)		A scroll of enchantment that empowers a C-Grade weapon.	-1					0	0	0	
954	Crystal Scroll: Enchant Armor (Grade C)		A scroll of enchantment that empowers a C-Grade armor.	-1					0	0	0	
955	Scroll: Enchant Weapon (Grade D)		When enchanted the P. Atk. of all D-Grade weapons will increase by 2 with the exception of bows, which will increase by 4. The M. Atk. of all weapons increases by 2. From +4, P. Atk. and M. Atk. bonus will double for all weapon types.  It can be safely enchanted up to +3.	-1					0	0	0	
956	Scroll: Enchant Armor (Grade D)		Increases P. Def. of a D-Grade armor or accessory by 1, and from +4, the P. Def will increase by 3. It can be safely enchanted up to +3. One-piece type armor can be safely enchanted up to +4.	-1					0	0	0	
957	Crystal Scroll: Enchant Weapon (Grade D)		A scroll of enchantment that empowers a D-Grade weapon.	-1					0	0	0	
958	Crystal Scroll: Enchant Armor (Grade D)		A scroll of enchantment that empowers a D-Grade armor.	-1					0	0	0	
959	Scroll: Enchant Weapon (Grade S)		When enchanted, the P. Atk. of S grade weapons such as one-handed swords and blunt weapons, daggers and spears increases by 5. The P. Atk of two-handed swords and blunt weapons, dualswords, and two-handed fist-fighting weapons increases by 6. The P. Atk. of bow weapons increases by 10. The M. Atk. of all weapons increases by 4. From +4, P. Atk. and M. Atk. bonus will double for all weapon types.  It can be safely enchanted up to +3.	-1					0	0	0	
960	Scroll: Enchant Armor (Grade S)		When enchanted, increases P. Def. of S grade armor or accessory by 1, and from +4, the P. Def increases by 3. It can be safely enchanted up to +3. One-piece armor can be safely enchanted up to +4.	-1					0	0	0	
961	Crystal Scroll: Enchant Weapon (Grade S)		A scroll of enchantment that empowers a S Grade weapon.	-1					0	0	0	
962	Crystal Scroll: Enchant Armor (Grade S)		A scroll of enchantment that empowers a S Grade armor	-1					0	0	0	
963	Orcish Arrowhead		An arrowhead that Turath orc marksmen use on Talking Island. Collect these and take to Master Minia.	-1					0	0	0	
964	Alberius's Letter		A letter from Alberius. Take this to Master Cobendell.	-1					0	0	0	
965	Evergreen Amulet		A necklace set with a green elemental stone. You must possess this to slay the dryad and obtain the dryad's tears.	-1					0	0	0	
966	Dryad's Tears		A jewel that contains the essence of a dryad's soul. Gather ten of these and take them to Master Cobendell.	-1					0	0	0	
967	Cobendell Medicine		Cobendell's medicine	-1					0	0	0	
968	Karrod's Letter		A letter written by Blacksmith Karrod. Take this to the Abyssal Celebrant Cecktinon in the Shilen Temple.	-1					0	0	0	
969	Cecktinon's First Voucher		An introduction letter from the Abyssal Celebrant Cecktinon. Take this and seek Magister Harne in the village.	-1					0	0	0	
970	Cecktinon's Second Voucher		An introduction letter from the Abyssal Celebrant Cecktinon. Go to the School of Dark Arts, hunt skeletons, and gather 10 bone fragments.	-1					0	0	0	
971	Soul Catcher		An item used during the exorcism ritual to call upon a spirit of the dead. Take this to the Abyssal Celebrant Cecktinon.	-1					0	0	0	
972	Preserving Oil		An oil that when used, prevents the rotting of corpses. Take this and go hunt zombies in the swamps.	-1					0	0	0	
973	Zombie Head		The head of tree Elf zombies that have been cut after they are defeated. Take this to the abyssal celebrant Cecktinon.	-1					0	0	0	
974	Steelbender Head		Please, I beg of you!  Don't take me to that brutal blacksmith!	-1					0	0	0	
976	1st Mark of Sentinel		A mark that certifies that its bearer is an Elven Sentinel. Destroy an orc Tanuki skullcrusher and report to Sentinel Kendell.	-1					0	0	0	
977	2nd Mark of Sentinel		A mark that certifies that its bearer is an Elven Sentinel. Destroy an orc Bhato bloodspear and report to Sentinel Kendell.	-1					0	0	0	
978	Skullcrusher Amulet		The amulet that represents the Skullcrusher Orc tribe. Take this to Sentinel Kendell.	-1					0	0	0	
979	Bloodspear Amulet		The amulet that represents the Bloodspear Orc tribe. Take this to Sentinel Kendell.	-1					0	0	0	
980	0		0	-1					0	0	0	
982	Esrandell's Letter		Esrandell's introduction	-1					0	0	0	
983	Kendell's Letter		Kendell's letter	-1					0	0	0	
984	1st Onyx Talisman		A necklace crafted of onyx. Take this to Abyssal Celebrant Kartia.	-1					0	0	0	
985	2nd Onyx Talisman		A necklace crafted of onyx. Recover the original scrolls from the blackskull Orcs and bring them to Abyssal Celebrant Kartia.	-1					0	0	0	
986	Ancient Scroll		An ancient scroll called Kaysha's Revelation. Take it along with the clay tablet to Abyssal Celebrant Kartia.	-1					0	0	0	
987	Ancient Clay Tablet		An ancient clay tablet engraved with text. Take it along with the ancient scroll to Abyssal Celebrant Kartia.	-1					0	0	0	
988	Kartia's Translation		Kartia's translation of Kaysha's Revelations. Take it to Tetrarch Thifiell.	-1					0	0	0	
1001	Book of Aklantoth - Part 4			-1					0	0	0	
1002	Book of Aklantoth - Part 5			-1					0	0	0	
1003	Book of Aklantoth - Part 6			-1					0	0	0	
1004	Book of Aklantoth - Part 7			-1					0	0	0	
1005	Book of Aklantoth - Part 8			-1					0	0	0	
1006	Book of Aklantoth - Part 9			-1					0	0	0	
1007	Book of Aklantoth - Part 10			-1					0	0	0	
1008	Harrys's 1st Receipt		A receipt Harrys received after ordering tools. Take this and go to Blacksmith Alltran.	-1					0	0	0	
1009	Harrys's 2nd Receipt		The receipt that Harrys has received after placing an order for his tools. Go and gather golem shards needed for creating the tool.	-1					0	0	0	
1010	Golem Shard		Shards of rock that have fallen from the golem's body. Gather five of these and take them to Blacksmith Alltran.	-1					0	0	0	
1011	Tool Box		A toolbox containing the tools that Blacksmith Alltran has forged. Take this to Magister Harrys at the temple.	-1					0	0	0	
1012	Delivery List		Take the heavy wooden box to Trader Jackson. The bolts of cloth to Trader Silvia. Take the clay pot to the warehouse keeper Rant.	-1					0	0	0	
1013	Heavy Wood Box		The wooden box to be delivered to Trader Jackson of the weapons shop.	-1					0	0	0	
1014	Cloth Bundle		Bolts of cloth that need to be delivered to Trader Silvia of the grocery store.	-1					0	0	0	
1015	Clay Pot		The clay pot that must be delivered to the warehouse keeper Rant.	-1					0	0	0	
1016	Jackson's Receipt		The receipt that Jackson has issued upon receiving his wooden box. Take this to Guard Arnold.	-1					0	0	0	
1017	Silvia's Receipt		The receipt that Silvia has issued upon receiving her bolts of cloth. Take this to Guard Arnold.	-1					0	0	0	
1018	Rant's Receipt		The receipt issued by Rant upon his receiving of the clay pot. Take this to Guard Arnold.	-1					0	0	0	
1019	official Letter		An official letter that the Lord of Gludio has sent to Sir Colin Windawood, calling a meeting. Deliver this to Sir Windawood.	-1					0	0	0	
1020	Flame Shard		A fragment of soul ore of fire. Can be taken from the fire spirit salamander. Give it to Trader Katerina.	-1					0	0	0	
1021	Ice Shard		A fragment of elemental stone of water. Can be taken from the water spirit undine. Give to Trader Katerina.	-1					0	0	0	
1022	Lilith's Letter		A letter written by Lilith in longing for her lover, separated a thousand years ago. Find out news about her lover for her.	-1					0	0	0	
1023	Theon's Diary		A diary written by Theon in longing for his lover, separated a thousand years ago. Take this to Lilith.	-1					0	0	0	
1024	Adamantite Ore		Adamantite ore. All of it is imported from Gracia. Gather 20 of these and take them to Warehouse Keeper Wilford.	-1					0	0	0	
1025	Clay Tablet		A tablet praising Beleth that the devil Nerkas possessed. Deliver this to High Priest Biotin.	-1					0	0	0	
1026	Silvery Spidersilk		The spider silk of the silver spider. Take this to Trader Unoren of the weapons shop.	-1					0	0	0	
1027	Unoren's Receipt		The receipt issued by the magic shop. Take this and go to Trader Creamees.	-1					0	0	0	
1028	Creamees's Ticket		A ticket issued by the warehouse. Take this and go to Warehouse Keeper Julia.	-1					0	0	0	
1029	Nightshade Leaf		The leaf of the nightshade plant. Take this to Nerupa.	-1					0	0	0	
1030	Cracked Skull		The cracked skull of the Dark Horror. Take this to Magister Vlasty.	-1					0	0	0	
1031	Perfect Skull		Skull of the dark horror. Take this to Magister Vlasty.	-1					0	0	0	
1032	Fox Fur		A mane of keltirs. It is soft and luxurious, and used to spin thread and yarn. Take this to Cristel.	-1					0	0	0	
1033	Fox Fur Yarn		Yarn spun out of the fur of keltirs. Take this to the former tailor Warehouse Keeper Rolfe, and he will make it into the doll's hair.	-1					0	0	0	
1034	Maiden Doll		A doll resembling a Human maiden. Take this to Lighthouse Keeper Rockswell.	-1					0	0	0	
1035	Plague Dust		A powder obtained from the plague zombie. Take this to Hierarch Asterios.	-1					0	0	0	
1036	Andellia's Letter		A letter from Andellia asking her sister Thalia to send her the fruit of the Mother Tree.	-1					0	0	0	
1037	Fruit of The Mother Tree		Fruit that the Mother Tree bears once every few years. Take this to Andellia.	-1					0	0	0	
1038	Rumiel's 1st Poem		The scroll containing Rumiel Moonshine's first poem. Gather all four and take them to Sentinel Starden.	-1					0	0	0	
1039	Rumiel's 2nd Poem		The scroll containing Rumiel Moonshine's second poem. Gather all four and take them to Sentinel Starden.	-1					0	0	0	
1040	Rumiel's 3rd Poem		The scroll containing Rumiel Moonshine's third poem. Gather all four and take them to Sentinel Starden.	-1					0	0	0	
1041	Rumiel's 4th Poem		The scroll containing Rumiel Moonshine's fourth poem. Gather all four and take them to Sentinel Starden.	-1					0	0	0	
1042	Wererat's Fang		The fang of a dead ratman. Collect these to take to Master Ellenia.	-1					0	0	0	
1043	Varool Foulclaw's Fang		The fang of Varool Foulclaw, leader of the ratmen. Take this to Master Ellenia.	-1					0	0	0	
1044	Kirunak Skull		Kirunak's skull obtained after killing Kirunak, the leader of the drevanuls. Take this to Trader Creamees.	-1					0	0	0	
1045	Zombie's Skin		A skin obtained from marshland zombies. Collect five and go to Trader Minaless.	-1					0	0	0	
1046	Nightmare Crystal		A crystal used by the succubus Merkenis to cast nightmares. Take this to Tetrarch Vellior.	-1					0	0	0	
1047	Spellbook: Light		Spellbook needed to learn Light.	-1					0	0	0	
1048	Spellbook: Might		Spellbook needed to learn Might. Used by Human Mystics, Elven Mystics and Dark Mystics.	-1					0	0	0	
1049	Spellbook: Ice Bolt		Spellbook needed to learn Ice Bolt. Used by Human Mystics, Elven Mystics and Dark Mystics.	-1					0	0	0	
1050	Spellbook: Battle Heal		Spellbook needed to learn Battle Heal. Used by Human Mystics, Elven Mystics and Dark Mystics.	-1					0	0	0	
1051	Spellbook: Vampiric Touch		Spellbook needed to learn Vampiric Touch. Used by Human Mystics and Dark Mystics.	-1					0	0	0	
1052	Spellbook: Flame Strike		Spellbook needed to learn Flame Strike. Used by Human Wizards, Elven Wizards and Dark Wizards.	-1					0	0	0	
1053	Spellbook: Cure Poison		Spellbook needed to learn Cure Poison. Used by Human Mystics, Elven Mystics and Dark Mystics.	-1					0	0	0	
1054	Spellbook: Group Heal		Spellbook needed to learn Group Heal. Used by Human Mystics, Elven Mystics and Dark Mystics.	-1					0	0	0	
1055	Spellbook: Curse: Poison		Spellbook needed to learn Curse: Poison. Used by Human Mystics and Dark Mystics.	-1					0	0	0	
1056	Spellbook: Curse: Weakness		Spellbook needed to learn Curse: Weakness. Used by Human Mystics and Elven Mystics.	-1					0	0	0	
1057	Spellbook: Summon Meal		Spellbook needed to learn Summon Meal. Used by Human Mystics and Elven Mystics.	-1					0	0	0	
1058	Spellbook: Shield		Spellbook needed to learn Shield. Used by Human Mystics, Elven Mystics and Dark Mystics.	-1					0	0	0	
1059	Spellbook: Know Enemy		Spellbook needed to learn Know Enemy.	-1					0	0	0	
1060	Lesser Healing Potion		A magical potion that slowly restores HP. Low endurance.	-1					0	0	0	
1061	Healing Potion		A magical potion that slowly restores HP. High endurance.	-1					0	0	0	
1062	Haste Potion		A magical potion that increases speed.	-1					0	0	0	
1063	Tutorial Parchment		Take the tutorial parchment to Grand Master Roien.	-1					0	0	0	
1064	Tutorial Parchment		Take the tutorial parchment to Grand Master Roien.	-1					0	0	0	
1065	Tutorial Parchment		Take the tutorial parchment to Nerupa.	-1					0	0	0	
1066	Tutorial Parchment		Take the tutorial parchment to Mitraell, the chief of Dark Elves.	-1					0	0	0	
1067	Recommendation		Take the recommendation to Grand Master Roien.	-1					0	0	0	
1068	Recommendation		Take the recommendation to Grand Magister Gallint.	-1					0	0	0	
1069	Leaf of the Mother Tree		Take the leaf of the Mother Tree to Nerupa.	-1					0	0	0	
1070	Blood of Mitraell		Take the blood of Mitraell to Hierarch Mitraell.	-1					0	0	0	
1071	Hyacinth Charm		A charm given by Hierarch Asterios. Go to the water source to seek those who pollute the waters of the elven village.	-1					0	0	0	
1072	Hyacinth Charm		A charm given by Hierarch Asterios. Go to the water source and obtain five handfuls of plague dust from the zombies.	-1					0	0	0	
1073	Beginner's Potion		A magical potion that slowly restores HP. Low endurance.	-1					0	0	0	
1074	Boat Ticket: Talking Island to Gludin		Boat Ticket: Depart Talking Island - Arrive Gludin Harbor	-1					0	0	0	
1075	Boat Ticket: Gludin to Talking Island		Boat Ticket: Depart Gludin Harbor - Arrive Talking Island	-1					0	0	0	
1076	Carlon's Letter		First half year financial summary of the Iron Gate Guild: balance sheet and profit and loss statement of the Dark Elf Village guild.	-1					0	0	0	
1077	Venom Sac		A poison sac of poisonous spider. Gather ten of these and take to Astaron.	-1					0	0	0	
1078	Wind Shard		A fragment of the elemental stone of wind. You can get them from lirein, the wind spirits. Collect these to take to Rizraell.	-1					0	0	0	
1079	Darin's Receipt		A receipt for a magical potion Darin received after paying Baulro. This must be handed to Baulro.	-1					0	0	0	
1080	Baulro's Potion		A potion of courage that Baulro has created for the shy Darin, but its effects are unknown. This must be delivered to Darin.	-1					0	0	0	
1081	Omen Beast's Eye		The first of three materials Tetrarch Talloth asked you to collect.	-1					0	0	0	
1082	Taint Stone		The second of three materials Tetrarch Talloth asked you to collect.	-1					0	0	0	
1083	Succubus Blood		The third of three materials Tetrarch Talloth asked you to collect.	-1					0	0	0	
1084	Gludio Lord's Mark		A mark indicating that the bearer is carrying out the orders of the lord. Keep this in your possession and hunt Orcs or werewolves.	-1					0	0	0	
1085	Orc's Necklace		A bone necklace that Orc fighters possess on their bodies for magic purposes. Take this to Captain Gilbert.	-1					0	0	0	
1086	Werewolf's Fang		Fangs from a dead werewolf. Take this to Captain Gilbert.	-1					0	0	0	
1087	Giant Spider Leg		The legs cut off from a giant spider. Collect 8 of these and take them to Alshupes.	-1					0	0	0	
1088	Undrias's Letter		Abyssal Celebrant Undrias's letter. Take this letter to Trader Iria, Warehouse Keeper Dorankus, and Master Trudy.	-1					0	0	0	
1089	Ceremonial Dagger		A ceremonial dagger used during the mass of darkness. Take this to Abyssal Celebrant Undrias.	-1					0	0	0	
1090	Dreviant Wine		Holy wine used in the mass of darkness. Take this to Abyssal Celebrant Undrias.	-1					0	0	0	
1091	Garmiel's Scripture		The scripture used during the mass of darkness. Take this to Abyssal Celebrant Undrias.	-1					0	0	0	
1092	Arujien's Letter		The letter that Arujien has written in longing for Greenis. Show this to Gatekeeper Mirabel.	-1					0	0	0	
1093	Arujien's Letter		The letter that Arujien has written in longing for Greenis. Show this to Trader Herbiel.	-1					0	0	0	
1094	Arujien's Letter		Arujien's love letter. Since you have shown this to Mirabel and Herbiel, you must go back to Arujien.	-1					0	0	0	
1095	Spellbook: Attack Aura		Spellbook needed to learn Attack Aura. Used by Elven Fighters and Dark Fighters.	-1					0	0	0	
1096	Spellbook: Elemental Heal		Spellbook needed to learn Elemental Heal. Used by Elven Fighters.	-1					0	0	0	
1097	Spellbook: Drain Health		Spellbook needed to learn Drain Health. Used by Human Knights and Dark Fighters.	-1					0	0	0	
1098	Spellbook: Wind Walk		Spellbook needed to learn Wind Walk. Used by Clerics, Elven Oracles and Shillien Oracles.	-1					0	0	0	
1099	Spellbook: Wind Shackle		Spellbook needed to learn Wind Shackle. Used by Elven Mystics and Dark Mystics.	-1					0	0	0	
1106	Norman's Letter		First half year financial summary of the Iron Gate guild: balance sheet and profit and loss statement of the Gludio region guild.	-1					0	0	0	
1107	Bone Fragment		Bone fragments of the undead skeletons. Collect ten of these and go back to Magister Harne.	-1					0	0	0	
1108	Arbon's Letter			-1					0	0	0	
1109	Roien's Letter			-1					0	0	0	
1110	Bone Fragment			-1					0	0	0	
1111	Adamantite Ore			-1					0	0	0	
1112	Leaf of the Mother Tree			-1					0	0	0	
1113	Blood of Mitraell			-1					0	0	0	
1114	Orc Amulet		An amulet possessed by Kaboo Orcs for magic purposes. Take it to Sentinel Rayen.	-1					0	0	0	
1115	Orc's Necklace		A bone necklace possessed by Kaboo Orc fighters for magic purposes. Take it to Sentinel Rayen.	-1					0	0	0	
